Description:,"Fahrenheit-based heating degree days with a base temperature of 65 F"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"HOUSTON HOBBY AIRPORT, TX, US (95.28W,29.64N)"
Station ID:,KHOU

Month starting,HDD 65,% Estimated
2019-12-01,251.7,0
2020-01-01,218.5,0
2020-02-01,237.5,0
2020-03-01,30.6,0
2020-04-01,27.8,0
2020-05-01,1,0
2020-06-01,0,0
2020-07-01,0,0
2020-08-01,0,0
2020-09-01,2.2,0
2020-10-01,41.5,0.03
2020-11-01,64.6,0
2020-12-01,271.6,0
2021-01-01,294.3,0.03
2021-02-01,378.7,0
2021-03-01,99,0
2021-04-01,43.7,0
2021-05-01,0.1,0
2021-06-01,0,0
2021-07-01,0,0.06
