Description:,"Fahrenheit-based heating degree days with a base temperature of 65 F"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"SAN ANTONIO INTERNATIONAL AIRPORT, TX, US (98.47W,29.53N)"
Station ID:,KSAT

Month starting,HDD 65,% Estimated
2019-12-01,347.2,0
2020-01-01,267.5,0.03
2020-02-01,312.8,0.07
2020-03-01,63,0
2020-04-01,71.8,0
2020-05-01,3.5,0
2020-06-01,0.1,0
2020-07-01,0,0
2020-08-01,0,0
2020-09-01,11,0
2020-10-01,85.7,0.03
2020-11-01,113.5,0
2020-12-01,372,0
2021-01-01,386.8,0
2021-02-01,473.6,0.07
2021-03-01,133,0
2021-04-01,59.1,0
2021-05-01,6.9,0
2021-06-01,0,0
2021-07-01,0,0
