Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/01/2020,01:00,N,HB_BUSAVG,12.27
02/01/2020,01:00,N,HB_HOUSTON,12.60
02/01/2020,01:00,N,HB_HUBAVG,12.19
02/01/2020,01:00,N,HB_NORTH,12.16
02/01/2020,01:00,N,HB_PAN,11.63
02/01/2020,01:00,N,HB_SOUTH,12.84
02/01/2020,01:00,N,HB_WEST,11.14
02/01/2020,01:00,N,LZ_AEN,12.74
02/01/2020,01:00,N,LZ_CPS,13.44
02/01/2020,01:00,N,LZ_HOUSTON,12.75
02/01/2020,01:00,N,LZ_LCRA,12.78
02/01/2020,01:00,N,LZ_NORTH,12.20
02/01/2020,01:00,N,LZ_RAYBN,12.20
02/01/2020,01:00,N,LZ_SOUTH,13.16
02/01/2020,01:00,N,LZ_WEST,41.84
02/01/2020,02:00,N,HB_BUSAVG,11.53
02/01/2020,02:00,N,HB_HOUSTON,11.88
02/01/2020,02:00,N,HB_HUBAVG,11.42
02/01/2020,02:00,N,HB_NORTH,11.47
02/01/2020,02:00,N,HB_PAN,10.82
02/01/2020,02:00,N,HB_SOUTH,11.99
02/01/2020,02:00,N,HB_WEST,10.33
02/01/2020,02:00,N,LZ_AEN,11.91
02/01/2020,02:00,N,LZ_CPS,12.72
02/01/2020,02:00,N,LZ_HOUSTON,12.04
02/01/2020,02:00,N,LZ_LCRA,11.94
02/01/2020,02:00,N,LZ_NORTH,11.51
02/01/2020,02:00,N,LZ_RAYBN,11.57
02/01/2020,02:00,N,LZ_SOUTH,12.24
02/01/2020,02:00,N,LZ_WEST,38.21
02/01/2020,03:00,N,HB_BUSAVG,11.10
02/01/2020,03:00,N,HB_HOUSTON,11.45
02/01/2020,03:00,N,HB_HUBAVG,10.98
02/01/2020,03:00,N,HB_NORTH,11.08
02/01/2020,03:00,N,HB_PAN,10.32
02/01/2020,03:00,N,HB_SOUTH,11.53
02/01/2020,03:00,N,HB_WEST,9.86
02/01/2020,03:00,N,LZ_AEN,11.64
02/01/2020,03:00,N,LZ_CPS,12.26
02/01/2020,03:00,N,LZ_HOUSTON,11.61
02/01/2020,03:00,N,LZ_LCRA,11.53
02/01/2020,03:00,N,LZ_NORTH,11.11
