Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
02/01/2020,1,1,N,HB_BUSAVG,SH,11.66
02/01/2020,1,2,N,HB_BUSAVG,SH,11.85
02/01/2020,1,3,N,HB_BUSAVG,SH,11.78
02/01/2020,1,4,N,HB_BUSAVG,SH,11.59
02/01/2020,1,1,N,HB_HOUSTON,HU,11.66
02/01/2020,1,2,N,HB_HOUSTON,HU,11.85
02/01/2020,1,3,N,HB_HOUSTON,HU,11.78
02/01/2020,1,4,N,HB_HOUSTON,HU,11.59
02/01/2020,1,1,N,HB_HUBAVG,AH,11.66
02/01/2020,1,2,N,HB_HUBAVG,AH,11.85
02/01/2020,1,3,N,HB_HUBAVG,AH,11.78
02/01/2020,1,4,N,HB_HUBAVG,AH,11.59
02/01/2020,1,1,N,HB_NORTH,HU,11.66
02/01/2020,1,2,N,HB_NORTH,HU,11.85
02/01/2020,1,3,N,HB_NORTH,HU,11.78
02/01/2020,1,4,N,HB_NORTH,HU,11.59
02/01/2020,1,1,N,HB_PAN,HU,11.66
02/01/2020,1,2,N,HB_PAN,HU,11.85
02/01/2020,1,3,N,HB_PAN,HU,11.78
02/01/2020,1,4,N,HB_PAN,HU,11.59
02/01/2020,1,1,N,HB_SOUTH,HU,11.66
02/01/2020,1,2,N,HB_SOUTH,HU,11.85
02/01/2020,1,3,N,HB_SOUTH,HU,11.78
02/01/2020,1,4,N,HB_SOUTH,HU,11.59
02/01/2020,1,1,N,HB_WEST,HU,11.66
02/01/2020,1,2,N,HB_WEST,HU,11.85
02/01/2020,1,3,N,HB_WEST,HU,11.78
02/01/2020,1,4,N,HB_WEST,HU,11.59
02/01/2020,1,1,N,LZ_AEN,LZ,11.66
02/01/2020,1,1,N,LZ_AEN,LZEW,11.66
02/01/2020,1,2,N,LZ_AEN,LZEW,11.85
02/01/2020,1,2,N,LZ_AEN,LZ,11.85
02/01/2020,1,3,N,LZ_AEN,LZ,11.78
02/01/2020,1,3,N,LZ_AEN,LZEW,11.78
02/01/2020,1,4,N,LZ_AEN,LZEW,11.59
02/01/2020,1,4,N,LZ_AEN,LZ,11.59
02/01/2020,1,1,N,LZ_CPS,LZ,11.66
02/01/2020,1,1,N,LZ_CPS,LZEW,11.66
02/01/2020,1,2,N,LZ_CPS,LZEW,11.85
02/01/2020,1,2,N,LZ_CPS,LZ,11.85
02/01/2020,1,3,N,LZ_CPS,LZ,11.78
02/01/2020,1,3,N,LZ_CPS,LZEW,11.78
02/01/2020,1,4,N,LZ_CPS,LZEW,11.59
02/01/2020,1,4,N,LZ_CPS,LZ,11.59
02/01/2020,1,1,N,LZ_HOUSTON,LZ,11.66
02/01/2020,1,1,N,LZ_HOUSTON,LZEW,11.66
02/01/2020,1,2,N,LZ_HOUSTON,LZ,11.85
02/01/2020,1,2,N,LZ_HOUSTON,LZEW,11.85
02/01/2020,1,3,N,LZ_HOUSTON,LZEW,11.78
02/01/2020,1,3,N,LZ_HOUSTON,LZ,11.78
02/01/2020,1,4,N,LZ_HOUSTON,LZEW,11.59
02/01/2020,1,4,N,LZ_HOUSTON,LZ,11.59
02/01/2020,1,1,N,LZ_LCRA,LZ,11.66
02/01/2020,1,1,N,LZ_LCRA,LZEW,11.66
02/01/2020,1,2,N,LZ_LCRA,LZ,11.85
02/01/2020,1,2,N,LZ_LCRA,LZEW,11.85
02/01/2020,1,3,N,LZ_LCRA,LZEW,11.78
02/01/2020,1,3,N,LZ_LCRA,LZ,11.78
02/01/2020,1,4,N,LZ_LCRA,LZ,11.59
02/01/2020,1,4,N,LZ_LCRA,LZEW,11.59
02/01/2020,1,1,N,LZ_NORTH,LZ,11.66
02/01/2020,1,1,N,LZ_NORTH,LZEW,11.66
02/01/2020,1,2,N,LZ_NORTH,LZEW,11.85
02/01/2020,1,2,N,LZ_NORTH,LZ,11.85
02/01/2020,1,3,N,LZ_NORTH,LZ,11.78
02/01/2020,1,3,N,LZ_NORTH,LZEW,11.78
02/01/2020,1,4,N,LZ_NORTH,LZ,11.59
02/01/2020,1,4,N,LZ_NORTH,LZEW,11.59
02/01/2020,1,1,N,LZ_RAYBN,LZ,11.66
02/01/2020,1,1,N,LZ_RAYBN,LZEW,11.66
02/01/2020,1,2,N,LZ_RAYBN,LZ,11.85
02/01/2020,1,2,N,LZ_RAYBN,LZEW,11.85
02/01/2020,1,3,N,LZ_RAYBN,LZEW,11.78
02/01/2020,1,3,N,LZ_RAYBN,LZ,11.78
02/01/2020,1,4,N,LZ_RAYBN,LZEW,11.59
02/01/2020,1,4,N,LZ_RAYBN,LZ,11.59
02/01/2020,1,1,N,LZ_SOUTH,LZ,11.66
02/01/2020,1,1,N,LZ_SOUTH,LZEW,11.66
02/01/2020,1,2,N,LZ_SOUTH,LZEW,11.85
02/01/2020,1,2,N,LZ_SOUTH,LZ,11.85
02/01/2020,1,3,N,LZ_SOUTH,LZ,11.78
02/01/2020,1,3,N,LZ_SOUTH,LZEW,11.78
02/01/2020,1,4,N,LZ_SOUTH,LZ,11.59
02/01/2020,1,4,N,LZ_SOUTH,LZEW,11.59
02/01/2020,1,1,N,LZ_WEST,LZEW,11.66
02/01/2020,1,1,N,LZ_WEST,LZ,11.66
02/01/2020,1,2,N,LZ_WEST,LZ,11.85
02/01/2020,1,2,N,LZ_WEST,LZEW,11.85
02/01/2020,1,3,N,LZ_WEST,LZEW,11.78
02/01/2020,1,3,N,LZ_WEST,LZ,11.78
02/01/2020,1,4,N,LZ_WEST,LZ,11.59
02/01/2020,1,4,N,LZ_WEST,LZEW,11.59
02/01/2020,2,1,N,HB_BUSAVG,SH,11.42
02/01/2020,2,2,N,HB_BUSAVG,SH,11.09
02/01/2020,2,3,N,HB_BUSAVG,SH,10.95
02/01/2020,2,4,N,HB_BUSAVG,SH,10.66
02/01/2020,2,1,N,HB_HOUSTON,HU,11.42
02/01/2020,2,2,N,HB_HOUSTON,HU,11.09
02/01/2020,2,3,N,HB_HOUSTON,HU,10.95
02/01/2020,2,4,N,HB_HOUSTON,HU,10.66
02/01/2020,2,1,N,HB_HUBAVG,AH,11.42
02/01/2020,2,2,N,HB_HUBAVG,AH,11.09
02/01/2020,2,3,N,HB_HUBAVG,AH,10.95
02/01/2020,2,4,N,HB_HUBAVG,AH,10.66
02/01/2020,2,1,N,HB_NORTH,HU,11.42
02/01/2020,2,2,N,HB_NORTH,HU,11.09
02/01/2020,2,3,N,HB_NORTH,HU,10.95
02/01/2020,2,4,N,HB_NORTH,HU,10.66
02/01/2020,2,1,N,HB_PAN,HU,11.42
02/01/2020,2,2,N,HB_PAN,HU,11.09
02/01/2020,2,3,N,HB_PAN,HU,10.95
02/01/2020,2,4,N,HB_PAN,HU,10.66
02/01/2020,2,1,N,HB_SOUTH,HU,11.42
02/01/2020,2,2,N,HB_SOUTH,HU,11.09
02/01/2020,2,3,N,HB_SOUTH,HU,10.95
02/01/2020,2,4,N,HB_SOUTH,HU,10.66
02/01/2020,2,1,N,HB_WEST,HU,11.42
02/01/2020,2,2,N,HB_WEST,HU,11.09
02/01/2020,2,3,N,HB_WEST,HU,10.95
02/01/2020,2,4,N,HB_WEST,HU,10.66
02/01/2020,2,1,N,LZ_AEN,LZ,11.42
02/01/2020,2,1,N,LZ_AEN,LZEW,11.42
02/01/2020,2,2,N,LZ_AEN,LZ,11.09
02/01/2020,2,2,N,LZ_AEN,LZEW,11.09
02/01/2020,2,3,N,LZ_AEN,LZEW,10.95
02/01/2020,2,3,N,LZ_AEN,LZ,10.95
02/01/2020,2,4,N,LZ_AEN,LZ,10.66
02/01/2020,2,4,N,LZ_AEN,LZEW,10.66
02/01/2020,2,1,N,LZ_CPS,LZ,11.42
02/01/2020,2,1,N,LZ_CPS,LZEW,11.42
02/01/2020,2,2,N,LZ_CPS,LZEW,11.09
02/01/2020,2,2,N,LZ_CPS,LZ,11.09
02/01/2020,2,3,N,LZ_CPS,LZ,10.95
02/01/2020,2,3,N,LZ_CPS,LZEW,10.95
02/01/2020,2,4,N,LZ_CPS,LZ,10.66
02/01/2020,2,4,N,LZ_CPS,LZEW,10.66
02/01/2020,2,1,N,LZ_HOUSTON,LZ,11.42
02/01/2020,2,1,N,LZ_HOUSTON,LZEW,11.42
02/01/2020,2,2,N,LZ_HOUSTON,LZ,11.09
02/01/2020,2,2,N,LZ_HOUSTON,LZEW,11.09
02/01/2020,2,3,N,LZ_HOUSTON,LZ,10.95
02/01/2020,2,3,N,LZ_HOUSTON,LZEW,10.95
02/01/2020,2,4,N,LZ_HOUSTON,LZ,10.66
02/01/2020,2,4,N,LZ_HOUSTON,LZEW,10.66
02/01/2020,2,1,N,LZ_LCRA,LZ,11.42
02/01/2020,2,1,N,LZ_LCRA,LZEW,11.42
02/01/2020,2,2,N,LZ_LCRA,LZ,11.09
02/01/2020,2,2,N,LZ_LCRA,LZEW,11.09
02/01/2020,2,3,N,LZ_LCRA,LZEW,10.95
02/01/2020,2,3,N,LZ_LCRA,LZ,10.95
02/01/2020,2,4,N,LZ_LCRA,LZ,10.66
02/01/2020,2,4,N,LZ_LCRA,LZEW,10.66
02/01/2020,2,1,N,LZ_NORTH,LZ,11.42
02/01/2020,2,1,N,LZ_NORTH,LZEW,11.42
02/01/2020,2,2,N,LZ_NORTH,LZ,11.09
02/01/2020,2,2,N,LZ_NORTH,LZEW,11.09
02/01/2020,2,3,N,LZ_NORTH,LZ,10.95
02/01/2020,2,3,N,LZ_NORTH,LZEW,10.95
02/01/2020,2,4,N,LZ_NORTH,LZEW,10.66
02/01/2020,2,4,N,LZ_NORTH,LZ,10.66
02/01/2020,2,1,N,LZ_RAYBN,LZ,11.42
02/01/2020,2,1,N,LZ_RAYBN,LZEW,11.42
02/01/2020,2,2,N,LZ_RAYBN,LZ,11.09
02/01/2020,2,2,N,LZ_RAYBN,LZEW,11.09
02/01/2020,2,3,N,LZ_RAYBN,LZEW,10.94
02/01/2020,2,3,N,LZ_RAYBN,LZ,10.95
02/01/2020,2,4,N,LZ_RAYBN,LZ,10.66
02/01/2020,2,4,N,LZ_RAYBN,LZEW,10.66
02/01/2020,2,1,N,LZ_SOUTH,LZ,11.42
02/01/2020,2,1,N,LZ_SOUTH,LZEW,11.42
02/01/2020,2,2,N,LZ_SOUTH,LZ,11.09
02/01/2020,2,2,N,LZ_SOUTH,LZEW,11.09
02/01/2020,2,3,N,LZ_SOUTH,LZ,10.95
02/01/2020,2,3,N,LZ_SOUTH,LZEW,10.94
02/01/2020,2,4,N,LZ_SOUTH,LZ,10.66
02/01/2020,2,4,N,LZ_SOUTH,LZEW,10.66
02/01/2020,2,1,N,LZ_WEST,LZ,11.42
02/01/2020,2,1,N,LZ_WEST,LZEW,11.42
02/01/2020,2,2,N,LZ_WEST,LZ,11.09
02/01/2020,2,2,N,LZ_WEST,LZEW,11.09
02/01/2020,2,3,N,LZ_WEST,LZ,10.95
02/01/2020,2,3,N,LZ_WEST,LZEW,10.95
02/01/2020,2,4,N,LZ_WEST,LZ,10.66
02/01/2020,2,4,N,LZ_WEST,LZEW,10.66
02/01/2020,3,1,N,HB_BUSAVG,SH,10.18
02/01/2020,3,2,N,HB_BUSAVG,SH,9.58
02/01/2020,3,3,N,HB_BUSAVG,SH,9.27
02/01/2020,3,4,N,HB_BUSAVG,SH,9.01
02/01/2020,3,1,N,HB_HOUSTON,HU,10.18
02/01/2020,3,2,N,HB_HOUSTON,HU,9.58
02/01/2020,3,3,N,HB_HOUSTON,HU,9.27
02/01/2020,3,4,N,HB_HOUSTON,HU,9.01
02/01/2020,3,1,N,HB_HUBAVG,AH,10.18
02/01/2020,3,2,N,HB_HUBAVG,AH,9.58
02/01/2020,3,3,N,HB_HUBAVG,AH,9.27
02/01/2020,3,4,N,HB_HUBAVG,AH,9.01
02/01/2020,3,1,N,HB_NORTH,HU,10.18
02/01/2020,3,2,N,HB_NORTH,HU,9.58
02/01/2020,3,3,N,HB_NORTH,HU,9.27
02/01/2020,3,4,N,HB_NORTH,HU,9.01
02/01/2020,3,1,N,HB_PAN,HU,10.18
02/01/2020,3,2,N,HB_PAN,HU,9.58
02/01/2020,3,3,N,HB_PAN,HU,9.27
02/01/2020,3,4,N,HB_PAN,HU,9.01
02/01/2020,3,1,N,HB_SOUTH,HU,10.18
02/01/2020,3,2,N,HB_SOUTH,HU,9.58
02/01/2020,3,3,N,HB_SOUTH,HU,9.27
02/01/2020,3,4,N,HB_SOUTH,HU,9.01
02/01/2020,3,1,N,HB_WEST,HU,10.18
02/01/2020,3,2,N,HB_WEST,HU,9.58
02/01/2020,3,3,N,HB_WEST,HU,9.27
02/01/2020,3,4,N,HB_WEST,HU,9.01
02/01/2020,3,1,N,LZ_AEN,LZ,10.18
02/01/2020,3,1,N,LZ_AEN,LZEW,10.18
02/01/2020,3,2,N,LZ_AEN,LZ,9.58
02/01/2020,3,2,N,LZ_AEN,LZEW,9.58
02/01/2020,3,3,N,LZ_AEN,LZ,9.27
02/01/2020,3,3,N,LZ_AEN,LZEW,9.27
02/01/2020,3,4,N,LZ_AEN,LZ,9.01
02/01/2020,3,4,N,LZ_AEN,LZEW,9.01
02/01/2020,3,1,N,LZ_CPS,LZ,10.18
02/01/2020,3,1,N,LZ_CPS,LZEW,10.18
02/01/2020,3,2,N,LZ_CPS,LZ,9.58
02/01/2020,3,2,N,LZ_CPS,LZEW,9.58
02/01/2020,3,3,N,LZ_CPS,LZ,9.27
02/01/2020,3,3,N,LZ_CPS,LZEW,9.27
02/01/2020,3,4,N,LZ_CPS,LZ,9.01
02/01/2020,3,4,N,LZ_CPS,LZEW,9.01
02/01/2020,3,1,N,LZ_HOUSTON,LZ,10.18
02/01/2020,3,1,N,LZ_HOUSTON,LZEW,10.18
02/01/2020,3,2,N,LZ_HOUSTON,LZ,9.58
02/01/2020,3,2,N,LZ_HOUSTON,LZEW,9.58
02/01/2020,3,3,N,LZ_HOUSTON,LZ,9.27
02/01/2020,3,3,N,LZ_HOUSTON,LZEW,9.27
02/01/2020,3,4,N,LZ_HOUSTON,LZ,9.01
02/01/2020,3,4,N,LZ_HOUSTON,LZEW,9.01
02/01/2020,3,1,N,LZ_LCRA,LZ,10.18
02/01/2020,3,1,N,LZ_LCRA,LZEW,10.18
02/01/2020,3,2,N,LZ_LCRA,LZ,9.58
02/01/2020,3,2,N,LZ_LCRA,LZEW,9.58
02/01/2020,3,3,N,LZ_LCRA,LZ,9.27
02/01/2020,3,3,N,LZ_LCRA,LZEW,9.27
02/01/2020,3,4,N,LZ_LCRA,LZEW,9.01
02/01/2020,3,4,N,LZ_LCRA,LZ,9.01
02/01/2020,3,1,N,LZ_NORTH,LZEW,10.18
02/01/2020,3,1,N,LZ_NORTH,LZ,10.18
02/01/2020,3,2,N,LZ_NORTH,LZ,9.58
02/01/2020,3,2,N,LZ_NORTH,LZEW,9.58
02/01/2020,3,3,N,LZ_NORTH,LZ,9.27
02/01/2020,3,3,N,LZ_NORTH,LZEW,9.27
02/01/2020,3,4,N,LZ_NORTH,LZEW,9.01
02/01/2020,3,4,N,LZ_NORTH,LZ,9.01
02/01/2020,3,1,N,LZ_RAYBN,LZ,10.18
02/01/2020,3,1,N,LZ_RAYBN,LZEW,10.18
02/01/2020,3,2,N,LZ_RAYBN,LZ,9.58
02/01/2020,3,2,N,LZ_RAYBN,LZEW,9.58
02/01/2020,3,3,N,LZ_RAYBN,LZ,9.27
02/01/2020,3,3,N,LZ_RAYBN,LZEW,9.27
02/01/2020,3,4,N,LZ_RAYBN,LZ,9.01
02/01/2020,3,4,N,LZ_RAYBN,LZEW,9.01
02/01/2020,3,1,N,LZ_SOUTH,LZ,10.18
02/01/2020,3,1,N,LZ_SOUTH,LZEW,10.18
02/01/2020,3,2,N,LZ_SOUTH,LZEW,9.58
02/01/2020,3,2,N,LZ_SOUTH,LZ,9.58
