,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,1:53 AM,50°F,47°F,89°%,N,13°mph,0°mph,29.62°in,0.0°in,Cloudy
1,2:53 AM,51°F,46°F,83°%,NNE,17°mph,0°mph,29.60°in,0.0°in,Cloudy
2,3:53 AM,50°F,46°F,86°%,N,15°mph,0°mph,29.61°in,0.0°in,Cloudy
3,4:53 AM,50°F,45°F,83°%,N,20°mph,0°mph,29.61°in,0.0°in,Cloudy
4,5:53 AM,50°F,46°F,86°%,NNE,15°mph,0°mph,29.62°in,0.0°in,Light Rain
5,6:53 AM,49°F,46°F,90°%,N,16°mph,0°mph,29.65°in,0.0°in,Cloudy
6,7:53 AM,49°F,46°F,90°%,NNE,14°mph,0°mph,29.63°in,0.0°in,Cloudy
7,8:53 AM,49°F,46°F,90°%,NNE,15°mph,0°mph,29.65°in,0.0°in,Cloudy
8,9:53 AM,50°F,46°F,86°%,N,16°mph,0°mph,29.67°in,0.0°in,Cloudy
9,10:19 AM,49°F,46°F,90°%,N,14°mph,0°mph,29.67°in,0.0°in,Cloudy
10,10:53 AM,49°F,46°F,90°%,NNE,13°mph,0°mph,29.69°in,0.0°in,Cloudy
11,11:53 AM,50°F,47°F,89°%,NNE,15°mph,0°mph,29.68°in,0.0°in,Light Rain
12,12:53 PM,50°F,46°F,86°%,N,13°mph,0°mph,29.68°in,0.0°in,Cloudy
13,1:53 PM,49°F,47°F,93°%,N,14°mph,0°mph,29.66°in,0.0°in,Light Rain
14,2:53 PM,50°F,47°F,89°%,N,13°mph,0°mph,29.62°in,0.0°in,Light Rain
15,3:43 PM,49°F,46°F,90°%,N,14°mph,0°mph,29.61°in,0.0°in,Light Rain
16,3:53 PM,49°F,46°F,90°%,N,14°mph,0°mph,29.60°in,0.0°in,Cloudy
17,4:53 PM,49°F,47°F,93°%,N,12°mph,0°mph,29.59°in,0.0°in,Light Rain
18,5:21 PM,49°F,47°F,93°%,N,12°mph,0°mph,29.59°in,0.0°in,Light Rain
19,5:46 PM,49°F,47°F,93°%,N,12°mph,0°mph,29.59°in,0.0°in,Light Rain
20,5:53 PM,49°F,46°F,90°%,N,9°mph,0°mph,29.59°in,0.0°in,Light Rain
21,6:18 PM,49°F,46°F,90°%,N,10°mph,0°mph,29.59°in,0.0°in,Cloudy
22,6:41 PM,49°F,46°F,90°%,NNE,10°mph,0°mph,29.59°in,0.0°in,Cloudy
23,6:53 PM,49°F,46°F,90°%,NNE,12°mph,0°mph,29.59°in,0.0°in,Cloudy
24,7:53 PM,49°F,46°F,90°%,NNE,12°mph,0°mph,29.59°in,0.0°in,Cloudy
25,8:53 PM,49°F,46°F,90°%,NNE,10°mph,0°mph,29.59°in,0.0°in,Cloudy
26,9:53 PM,48°F,46°F,93°%,NNE,9°mph,0°mph,29.60°in,0.0°in,Cloudy
27,10:53 PM,48°F,46°F,93°%,NNE,10°mph,0°mph,29.60°in,0.0°in,Cloudy
28,11:53 PM,48°F,45°F,89°%,N,12°mph,0°mph,29.61°in,0.0°in,Light Rain
29,12:53 AM,47°F,45°F,93°%,N,12°mph,0°mph,29.61°in,0.0°in,Cloudy
