,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,1:51 AM,46°F,45°F,96°%,W,5°mph,0°mph,29.98°in,0.0°in,Shallow Fog
1,2:29 AM,46°F,45°F,96°%,W,7°mph,0°mph,29.98°in,0.0°in,Patches of Fog
2,2:51 AM,45°F,45°F,100°%,W,5°mph,0°mph,29.99°in,0.0°in,Patches of Fog
3,3:51 AM,44°F,43°F,96°%,W,5°mph,0°mph,30.00°in,0.0°in,Mist
4,4:51 AM,45°F,44°F,97°%,W,6°mph,0°mph,30.01°in,0.0°in,Mostly Cloudy
5,5:51 AM,43°F,43°F,100°%,CALM,0°mph,0°mph,30.02°in,0.0°in,Shallow Fog
6,6:51 AM,48°F,47°F,96°%,NNW,13°mph,0°mph,30.04°in,0.0°in,Partly Cloudy
7,7:51 AM,48°F,44°F,86°%,N,15°mph,0°mph,30.08°in,0.0°in,Partly Cloudy
8,8:51 AM,47°F,43°F,86°%,N,15°mph,0°mph,30.13°in,0.0°in,Fair
9,9:51 AM,52°F,47°F,83°%,NNE,17°mph,0°mph,30.16°in,0.0°in,Fair
10,10:51 AM,55°F,44°F,67°%,NE,18°mph,0°mph,30.19°in,0.0°in,Fair
11,11:51 AM,58°F,44°F,60°%,NE,13°mph,0°mph,30.20°in,0.0°in,Fair
12,12:51 PM,60°F,44°F,55°%,N,14°mph,0°mph,30.19°in,0.0°in,Fair
13,1:51 PM,62°F,44°F,52°%,NE,8°mph,0°mph,30.17°in,0.0°in,Fair
14,2:51 PM,64°F,44°F,48°%,N,13°mph,0°mph,30.14°in,0.0°in,Fair
15,3:51 PM,65°F,43°F,45°%,NE,7°mph,0°mph,30.13°in,0.0°in,Fair
16,4:51 PM,66°F,42°F,42°%,NNE,10°mph,0°mph,30.12°in,0.0°in,Fair
17,5:51 PM,66°F,41°F,40°%,NE,10°mph,0°mph,30.11°in,0.0°in,Fair
18,6:51 PM,62°F,40°F,44°%,NNE,13°mph,0°mph,30.12°in,0.0°in,Fair
19,7:51 PM,58°F,41°F,53°%,NE,12°mph,0°mph,30.15°in,0.0°in,Fair
20,8:51 PM,57°F,41°F,55°%,NNE,20°mph,0°mph,30.18°in,0.0°in,Fair
21,9:51 PM,54°F,41°F,62°%,NE,15°mph,0°mph,30.22°in,0.0°in,Fair
22,10:51 PM,52°F,41°F,66°%,NE,15°mph,0°mph,30.24°in,0.0°in,Fair
23,11:51 PM,50°F,40°F,68°%,NE,16°mph,0°mph,30.26°in,0.0°in,Fair
24,12:51 AM,49°F,40°F,71°%,NE,15°mph,0°mph,30.27°in,0.0°in,Fair
