,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,1:51 AM,51°F,31°F,46°%,SSW,6°mph,0°mph,27.99°in,0.0°in,Fair
1,2:51 AM,50°F,32°F,50°%,SSW,7°mph,0°mph,27.98°in,0.0°in,Fair
2,3:51 AM,48°F,32°F,54°%,SSW,8°mph,0°mph,27.97°in,0.0°in,Fair
3,4:51 AM,47°F,32°F,56°%,W,6°mph,0°mph,27.97°in,0.0°in,Fair
4,5:51 AM,46°F,32°F,58°%,SW,5°mph,0°mph,27.96°in,0.0°in,Fair
5,6:51 AM,42°F,32°F,67°%,SSW,5°mph,0°mph,27.96°in,0.0°in,Fair
6,7:51 AM,40°F,32°F,73°%,SSW,7°mph,0°mph,27.96°in,0.0°in,Fair
7,8:51 AM,43°F,33°F,68°%,CALM,0°mph,0°mph,27.97°in,0.0°in,Fair
8,9:51 AM,55°F,37°F,51°%,W,6°mph,0°mph,27.97°in,0.0°in,Fair
9,10:51 AM,62°F,36°F,38°%,SSW,14°mph,0°mph,27.97°in,0.0°in,Fair
10,11:51 AM,67°F,36°F,32°%,SSW,13°mph,0°mph,27.97°in,0.0°in,Fair
11,12:51 PM,72°F,36°F,27°%,SW,15°mph,20°mph,27.95°in,0.0°in,Fair
12,1:51 PM,76°F,36°F,23°%,SSW,10°mph,21°mph,27.90°in,0.0°in,Fair
13,2:51 PM,79°F,35°F,20°%,SSW,13°mph,26°mph,27.85°in,0.0°in,Fair
14,3:51 PM,82°F,34°F,18°%,SW,18°mph,24°mph,27.82°in,0.0°in,Fair
15,4:51 PM,80°F,35°F,20°%,SW,15°mph,25°mph,27.81°in,0.0°in,Fair
16,5:51 PM,78°F,36°F,22°%,S,16°mph,24°mph,27.80°in,0.0°in,Fair
17,6:51 PM,74°F,38°F,27°%,SSW,13°mph,0°mph,27.79°in,0.0°in,Fair
18,7:51 PM,70°F,39°F,32°%,S,12°mph,0°mph,27.79°in,0.0°in,Fair
19,8:51 PM,68°F,40°F,36°%,SSW,14°mph,0°mph,27.79°in,0.0°in,Fair
20,9:51 PM,66°F,41°F,40°%,S,13°mph,24°mph,27.80°in,0.0°in,Fair
21,10:51 PM,65°F,43°F,45°%,S,16°mph,25°mph,27.79°in,0.0°in,Fair
22,11:51 PM,65°F,44°F,47°%,S,17°mph,31°mph,27.78°in,0.0°in,Fair
23,12:51 AM,64°F,44°F,48°%,S,22°mph,31°mph,27.75°in,0.0°in,Fair / Windy
