,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,1:51 AM,34°F,25°F,70°%,NW,12°mph,0°mph,29.06°in,0.0°in,Mostly Cloudy
1,2:51 AM,33°F,24°F,70°%,NW,8°mph,0°mph,29.04°in,0.0°in,Partly Cloudy
2,3:51 AM,33°F,24°F,70°%,NW,8°mph,0°mph,29.04°in,0.0°in,Fair
3,4:51 AM,33°F,24°F,70°%,NW,10°mph,0°mph,29.03°in,0.0°in,Fair
4,5:51 AM,32°F,23°F,69°%,NW,9°mph,0°mph,29.02°in,0.0°in,Fair
5,6:51 AM,32°F,23°F,69°%,NW,12°mph,0°mph,29.03°in,0.0°in,Fair
6,7:51 AM,31°F,22°F,69°%,NW,3°mph,0°mph,29.04°in,0.0°in,Fair
7,8:51 AM,31°F,22°F,69°%,NW,3°mph,0°mph,29.05°in,0.0°in,Fair
8,9:51 AM,36°F,23°F,59°%,WNW,5°mph,0°mph,29.07°in,0.0°in,Fair
9,10:51 AM,43°F,22°F,43°%,NW,9°mph,0°mph,29.08°in,0.0°in,Fair
10,11:51 AM,47°F,20°F,34°%,NW,15°mph,0°mph,29.06°in,0.0°in,Fair
11,12:51 PM,50°F,20°F,31°%,WNW,13°mph,22°mph,29.04°in,0.0°in,Fair
12,1:51 PM,53°F,24°F,32°%,WSW,15°mph,23°mph,28.99°in,0.0°in,Fair
13,2:51 PM,55°F,24°F,30°%,WSW,16°mph,24°mph,28.95°in,0.0°in,Partly Cloudy
14,3:51 PM,58°F,21°F,24°%,W,17°mph,39°mph,28.92°in,0.0°in,Mostly Cloudy
15,4:51 PM,59°F,18°F,20°%,W,17°mph,28°mph,28.90°in,0.0°in,Partly Cloudy
16,5:51 PM,58°F,18°F,21°%,W,20°mph,28°mph,28.91°in,0.0°in,Fair
17,6:51 PM,56°F,19°F,24°%,W,10°mph,0°mph,28.93°in,0.0°in,Fair
18,7:51 PM,53°F,19°F,26°%,WSW,3°mph,0°mph,28.93°in,0.0°in,Fair
19,8:51 PM,51°F,21°F,31°%,CALM,0°mph,0°mph,28.97°in,0.0°in,Fair
20,9:51 PM,45°F,25°F,46°%,NW,6°mph,0°mph,28.99°in,0.0°in,Fair
21,10:51 PM,42°F,25°F,51°%,CALM,0°mph,0°mph,29.01°in,0.0°in,Fair
22,11:51 PM,40°F,26°F,58°%,NW,5°mph,0°mph,29.01°in,0.0°in,Fair
23,12:51 AM,36°F,26°F,67°%,NW,5°mph,0°mph,29.01°in,0.0°in,Fair
